
      Year  smoothed data
      0.04  2.55264e-11
      0.08  3.35504e-11
      0.12  7.38891e-11
      0.16  1.39495e-10
       0.2  2.21676e-10
      0.24  2.59007e-10
      0.28  1.95122e-10
      0.32  2.03265e-10
      0.36  1.74087e-10
       0.4  1.13488e-10
      0.44  1.67283e-10
      0.48  2.18819e-10
      0.52   2.1373e-10
      0.56  1.81897e-10
       0.6  1.54345e-10
      0.64  2.19055e-10
      0.68  2.67991e-10
      0.72  1.87772e-10
      0.76   1.4058e-10
       0.8  1.56637e-10
      0.84  1.13857e-10
      0.88  6.32051e-11
      0.92  4.35966e-11
      0.96  5.54013e-11
         1  8.58095e-11
      1.04  1.40537e-10
      1.08  1.70492e-10
      1.12  1.45305e-10
      1.16  1.78842e-10
       1.2  2.21089e-10
      1.24  2.01064e-10
      1.28  2.10703e-10
      1.32  2.19737e-10
      1.36   1.8606e-10
       1.4   1.6013e-10
      1.44  1.58159e-10
      1.48  1.22405e-10
      1.52  6.16515e-11
      1.56  1.76516e-11
       1.6   2.0624e-11
      1.64  3.94262e-11
      1.68   6.2214e-11
      1.72  7.75691e-11
      1.76   9.0393e-11
       1.8  9.85285e-11
      1.84  8.91514e-11
      1.88  5.90179e-11
      1.92   1.7713e-11
      1.96  1.45802e-11
         2  1.94984e-11
      2.04  1.73283e-11
      2.08  3.72713e-11
      2.12  4.00407e-11
      2.16  2.72047e-11
       2.2  6.28054e-11
      2.24   8.3736e-11
      2.28   6.4143e-11
      2.32  3.60268e-11
      2.36  3.59152e-11
       2.4    2.904e-11
      2.44  7.07562e-12
      2.48  1.77006e-11
      2.52  1.96802e-11
      2.56  1.39056e-11
       2.6  1.26179e-11
      2.64  6.15825e-12
      2.68  2.74366e-11
      2.72   3.5432e-11
      2.76  3.96321e-11
       2.8  5.95639e-11
      2.84  7.79786e-11
      2.88  8.25108e-11
      2.92  7.88054e-11
      2.96  6.88836e-11
         3  5.08089e-11
      3.04  4.35265e-11
      3.08  4.35608e-11
      3.12  3.83839e-11
      3.16  4.03032e-11
       3.2  4.34572e-11
      3.24  2.77267e-11
      3.28  8.21303e-12
      3.32  2.55807e-11
      3.36  1.97763e-11
       3.4   1.9043e-11
      3.44  9.19472e-12
      3.48  1.53588e-11
      3.52  2.07358e-11
      3.56  2.90524e-11
       3.6  3.15498e-11
      3.64  3.02992e-11
      3.68  3.31192e-11
      3.72  3.64089e-11
      3.76  3.81228e-11
       3.8  3.95377e-11
      3.84  3.36154e-11
      3.88  3.22673e-11
      3.92  3.34617e-11
      3.96  2.06257e-11
         4  7.12285e-12
      4.04  5.93841e-12
      4.08  1.04119e-11
      4.12  7.85026e-12
      4.16  1.04174e-11
       4.2  1.98929e-11
      4.24  1.90837e-11
      4.28  1.00652e-11
      4.32   1.1406e-11
      4.36  1.23512e-11
       4.4  1.32053e-11
      4.44  2.09461e-11
      4.48  3.61079e-11
      4.52  3.48074e-11
      4.56  1.99579e-11
       4.6  6.15825e-12
      4.64  1.38339e-11
      4.68  2.79216e-11
      4.72   3.1992e-11
      4.76  2.94634e-11
       4.8  2.56561e-11
      4.84  1.99417e-11
      4.88  1.31466e-11
      4.92  7.17299e-12
      4.96  8.10676e-12
         5  6.88513e-12
      5.04   1.2948e-11
      5.08  1.42148e-11
      5.12  4.71653e-12
      5.16  4.59736e-12
       5.2  2.82861e-12
      5.24  3.99158e-12
      5.28  1.32447e-11
      5.32  1.81036e-11
      5.36    1.226e-11
